from,to,buyer,seller,tokenId,amount,timestamp
42,79,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,5b0d92e138422428d8e5afab8ee8f99ba9a4e613,754,0.07,2018-10-15T16:15:16Z
42,64,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,4af4aebe930e938fa11ad28cd2c88645cce739a1,770,0.045,2018-10-16T15:17:44Z
104,64,77350e1152efd5f2d807a6124015c629a907155e,4af4aebe930e938fa11ad28cd2c88645cce739a1,794,0.14,2018-10-16T15:23:01Z
214,156,f8b32d30ac6ab3030595432533d7836fd76b078d,b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,703,0.1,2018-10-18T14:29:04Z
42,79,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,5b0d92e138422428d8e5afab8ee8f99ba9a4e613,750,0.15,2018-10-19T11:52:25Z
33,47,27d54e5487a6b64ce403f627c1d0843d469f8200,37d6140e556d3730e366ae983de4f436addb3b62,139,0.05,2018-10-21T01:49:29Z
33,126,27d54e5487a6b64ce403f627c1d0843d469f8200,8e23b400c603e1fd0990b69d7734531f6a0db334,649,0.05,2018-10-21T06:24:33Z
104,8,77350e1152efd5f2d807a6124015c629a907155e,0b715ca8dc39e7f8a480d28d9822ae02f0a57008,829,0.05,2018-10-24T00:10:04Z
151,8,aeb70953077c1eceff54b0c65b2a3c54ed7ea185,0b715ca8dc39e7f8a480d28d9822ae02f0a57008,756,0.023,2018-10-24T00:15:42Z
151,8,aeb70953077c1eceff54b0c65b2a3c54ed7ea185,0b715ca8dc39e7f8a480d28d9822ae02f0a57008,738,0.025,2018-10-24T00:17:08Z
94,214,6853a596d6d7264d3622546da3b891b6fe17eb82,f8b32d30ac6ab3030595432533d7836fd76b078d,832,0.5,2018-10-24T06:02:44Z
33,219,27d54e5487a6b64ce403f627c1d0843d469f8200,fce9262f62f564edb7f2aed998ab3a551b5fb0ab,799,0.05,2018-10-24T06:43:47Z
43,24,337101def3eeb6f06e071efe02216274507937bb,1cf4d277263024d212c49ae0afb1ac5e8ab04cf4,113,4,2018-10-25T16:54:46Z
214,84,f8b32d30ac6ab3030595432533d7836fd76b078d,60d38778adbbeeac88f741b833cbb9877228eea0,791,0.05,2018-10-25T18:23:35Z
43,79,337101def3eeb6f06e071efe02216274507937bb,5b0d92e138422428d8e5afab8ee8f99ba9a4e613,834,0.1,2018-10-26T12:20:04Z
53,81,406abd306b633b6460666b4092784a3330370c7b,5cbb31e39ca93ca13d8e9f686bf749b14076bc65,707,0.1,2018-10-26T12:56:25Z
154,84,b25219a402f18160d30b7e827cf9f592989b081b,60d38778adbbeeac88f741b833cbb9877228eea0,693,0.1,2018-10-26T16:29:28Z
8,64,0b715ca8dc39e7f8a480d28d9822ae02f0a57008,4af4aebe930e938fa11ad28cd2c88645cce739a1,796,0.11111,2018-10-26T19:01:14Z
154,189,b25219a402f18160d30b7e827cf9f592989b081b,da5e56e6a41230ed87f39b7c65ede7a8373de403,849,0.33,2018-10-27T09:07:46Z
156,72,b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,55372173689c288552885d897d32f5f706f79aa6,118,1,2018-10-27T14:33:05Z
169,135,baba92b7822a56c05554ab5d1bc1d0b7e212499d,99edf1f758f70b4e27db284ec32ab8ad3b1fa2cf,769,0.5,2018-10-27T18:37:10Z
169,104,baba92b7822a56c05554ab5d1bc1d0b7e212499d,77350e1152efd5f2d807a6124015c629a907155e,706,0.5,2018-10-27T23:41:30Z
169,43,baba92b7822a56c05554ab5d1bc1d0b7e212499d,337101def3eeb6f06e071efe02216274507937bb,17,3,2018-10-28T12:41:51Z
43,133,337101def3eeb6f06e071efe02216274507937bb,981276d81272f7cd8808701645741db1abacad56,719,0.5,2018-10-28T14:07:52Z
170,50,bb2aa379177a52f93089af262b98e9f298cde638,39cc9c86e67baf2129b80fe3414c397492ea8026,12,1,2018-10-28T15:05:20Z
124,185,89c5dca00b9bf5ad746b91ec911c56cb4aee17f0,d6d6403ded517f2b7ab4fcbdc69b8718cdadb5cb,107,0.47,2018-10-28T19:00:08Z
170,214,bb2aa379177a52f93089af262b98e9f298cde638,f8b32d30ac6ab3030595432533d7836fd76b078d,698,0.4,2018-10-28T19:57:04Z
169,195,baba92b7822a56c05554ab5d1bc1d0b7e212499d,e5fdedd718bdf40904d67658fa4b9629a7a8b515,817,0.1,2018-10-28T20:55:58Z
156,181,b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ced2662fe30d876bef52f219eeac67e2b328effc,496,0.15,2018-10-29T00:41:10Z
41,66,32cee3fb2ecd101c4b6b6a0ecb5f4c283099a8d2,4e6772b3d36cd45182cd93926b1de04172be9eaa,571,0.5,2018-10-29T02:32:38Z
41,66,32cee3fb2ecd101c4b6b6a0ecb5f4c283099a8d2,4e6772b3d36cd45182cd93926b1de04172be9eaa,569,0.03,2018-10-29T02:36:29Z
205,84,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,60d38778adbbeeac88f741b833cbb9877228eea0,600,0.16,2018-10-29T17:28:47Z
134,104,9993d3a6d5a26f1d37220fcb16947a8b16998c9f,77350e1152efd5f2d807a6124015c629a907155e,664,0.1,2018-10-29T22:10:06Z
124,104,89c5dca00b9bf5ad746b91ec911c56cb4aee17f0,77350e1152efd5f2d807a6124015c629a907155e,865,0.25,2018-10-31T07:14:44Z
162,79,b6b32ac9499921c86e191a5113779e4ebc3da958,5b0d92e138422428d8e5afab8ee8f99ba9a4e613,821,1,2018-10-31T13:19:55Z
94,50,6853a596d6d7264d3622546da3b891b6fe17eb82,39cc9c86e67baf2129b80fe3414c397492ea8026,753,0.5,2018-10-31T17:33:35Z
72,104,55372173689c288552885d897d32f5f706f79aa6,77350e1152efd5f2d807a6124015c629a907155e,765,0.3,2018-11-01T20:32:32Z
169,64,baba92b7822a56c05554ab5d1bc1d0b7e212499d,4af4aebe930e938fa11ad28cd2c88645cce739a1,793,0.1,2018-11-02T01:02:29Z
214,181,f8b32d30ac6ab3030595432533d7836fd76b078d,ced2662fe30d876bef52f219eeac67e2b328effc,185,0.1,2018-11-02T14:39:57Z
169,33,baba92b7822a56c05554ab5d1bc1d0b7e212499d,27d54e5487a6b64ce403f627c1d0843d469f8200,139,0.1,2018-11-02T15:05:17Z
114,10,806c05ffe56f49358d958306c3f07f015148a621,0da07e67c2ca3a3cfcb58af115e1c0ed64f69f96,855,0.15,2018-11-02T16:48:13Z
140,52,9b9dffaad17cd0215e454dc0a6e221e7b6a16062,3d9456ad6463a77bd77123cb4836e463030bfab4,871,2.56,2018-11-03T09:30:29Z
134,195,9993d3a6d5a26f1d37220fcb16947a8b16998c9f,e5fdedd718bdf40904d67658fa4b9629a7a8b515,818,0.1,2018-11-03T12:46:03Z
134,195,9993d3a6d5a26f1d37220fcb16947a8b16998c9f,e5fdedd718bdf40904d67658fa4b9629a7a8b515,819,0.1,2018-11-03T12:48:28Z
11,10,10017ca37b1257ac0771e24652aa28c758e378eb,0da07e67c2ca3a3cfcb58af115e1c0ed64f69f96,892,0.33,2018-11-03T14:45:57Z
169,214,baba92b7822a56c05554ab5d1bc1d0b7e212499d,f8b32d30ac6ab3030595432533d7836fd76b078d,853,0.1,2018-11-04T13:42:44Z
94,104,6853a596d6d7264d3622546da3b891b6fe17eb82,77350e1152efd5f2d807a6124015c629a907155e,864,0.2,2018-11-04T20:18:38Z
